"14-05-2024 11:30:04","SQLSTATE[42S22]: Column not found: 1054 Unknown column 'd_beschrijving' in 'field list'","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",14
"14-05-2024 11:30:36","SQLSTATE[42S22]: Column not found: 1054 Unknown column 'd_categorieID' in 'field list'","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",14
"14-05-2024 12:43:07","SQLSTATE[21S01]: Insert value list does not match column list: 1136 Column count doesn't match value count at row 1","C:\MAMP\htdocs\EindProjectZibe\scripts\Account_signUp.php",39
"14-05-2024 12:44:10","SQLSTATE[21S01]: Insert value list does not match column list: 1136 Column count doesn't match value count at row 1","C:\MAMP\htdocs\EindProjectZibe\scripts\Account_signUp.php",39
"14-05-2024 13:21:34","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-1)*20) AS subquery' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",27
"14-05-2024 13:22:34","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-1)*20)) AS subquery' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",27
"14-05-2024 13:23:18","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '-1)*20)) AS subquery' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",38
"17-05-2024 16:33:26","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 16 OFFSET 0' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",24
"17-05-2024 16:34:00","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 16 OFFSET 0' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",24
"19-05-2024 18:41:15","SQLSTATE[HY093]: Invalid parameter number: parameter was not defined","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",70
"21-05-2024 11:37:56","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AND t_categorieën_d_categorieID IN (1,2,3,4)' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",53
"21-05-2024 11:39:25","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AND t_categorieën_d_categorieID IN (1)' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",56
"21-05-2024 11:40:03","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AND WHERE t_categorieën_d_categorieID IN (1)' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",56
"21-05-2024 11:44:01","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",56
"21-05-2024 11:46:11","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'AND t_categorieën_d_categorieID IN (1,3,4)' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",56
"21-05-2024 12:10:37","SQLSTATE[HY093]: Invalid parameter number: number of bound variables does not match number of tokens","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",109
"21-05-2024 12:11:38","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",52
"21-05-2024 12:14:29","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",52
"21-05-2024 12:14:53","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",52
"21-05-2024 12:30:14","SQLSTATE[HY093]: Invalid parameter number: parameter was not defined","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",49
"21-05-2024 12:30:36","SQLSTATE[HY093]: Invalid parameter number: parameter was not defined","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",49
"21-05-2024 12:30:59","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",52
"21-05-2024 12:39:42","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",50
"21-05-2024 12:40:35","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",52
"21-05-2024 12:49:33","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",52
"21-05-2024 12:49:41","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",52
"21-05-2024 12:50:29","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",52
"21-05-2024 12:53:56","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",48
"21-05-2024 12:54:03","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",48
"21-05-2024 13:25:12","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ':minprice AND d_prijs <= :maxprice' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",57
"21-05-2024 13:51:07","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",61
"21-05-2024 13:51:20","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",61
"21-05-2024 13:53:57","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''16' OFFSET '0'' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",60
"21-05-2024 13:53:59","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''16' OFFSET '0'' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",60
"21-05-2024 13:54:00","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''16' OFFSET '0'' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",60
"21-05-2024 13:54:01","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''16' OFFSET '0'' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",60
"21-05-2024 13:54:02","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''16' OFFSET '0'' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",60
"21-05-2024 13:54:02","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''16' OFFSET '0'' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",60
"21-05-2024 13:54:02","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''16' OFFSET '0'' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",60
"21-05-2024 13:54:03","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''16' OFFSET '0'' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",60
"21-05-2024 13:54:05","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''16' OFFSET '0'' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",60
"21-05-2024 13:58:04","SQLSTATE[HY093]: Invalid parameter number: mixed named and positional parameters","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",59
"21-05-2024 14:05:38","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'LIMIT 16 OFFSET 0' at line 1","C:\MAMP\htdocs\EindProjectZibe\scripts\browse.php",86
"23-05-2024 15:51:20","SQLSTATE[42S22]: Column not found: 1054 Unknown column 'd_rol' in 'where clause'","C:\MAMP\htdocs\EindProjectZibe\php_lib\authorised.inc.php",27
"23-05-2024 15:52:08","SQLSTATE[42000]: Syntax error or access violation: 1064 You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near ''0' = 1' at line 1","C:\MAMP\htdocs\EindProjectZibe\php_lib\authorised.inc.php",27
"24-05-2024 21:33:12","SQLSTATE[42S02]: Base table or view not found: 1146 Table 'mood_db.t_categorieën' doesn't exist","C:\MAMP\htdocs\EindProjectZibe\scripts\O_upload_products.php",12
"24-05-2024 21:34:54","SQLSTATE[42S02]: Base table or view not found: 1146 Table 'mood_db.t_categorieën' doesn't exist","C:\MAMP\htdocs\EindProjectZibe\scripts\O_upload_products.php",12
"27-05-2024 14:04:42","SQLSTATE[42S02]: Base table or view not found: 1146 Table 'mood_db.t_menu' doesn't exist","C:\MAMP\htdocs\EindProjectZibe\php_lib\menu.inc.php",33
"27-05-2024 14:18:22","SQLSTATE[42S02]: Base table or view not found: 1146 Table 'mood_db.t_menu' doesn't exist","C:\MAMP\htdocs\EindProjectZibe\php_lib\menu.inc.php",33
"27-05-2024 20:09:48","Could not send request to server. CURL error 60: SSL certificate problem: self-signed certificate in certificate chain","C:\MAMP\htdocs\EindProjectZibe\sendgrid-php\vendor\sendgrid\php-http-client\lib\Client.php",521
"27-05-2024 20:11:11","Could not send request to server. CURL error 60: SSL certificate problem: self-signed certificate in certificate chain","C:\MAMP\htdocs\EindProjectZibe\sendgrid-php\vendor\sendgrid\php-http-client\lib\Client.php",521
"27-05-2024 20:11:25","Could not send request to server. CURL error 60: SSL certificate problem: self-signed certificate in certificate chain","C:\MAMP\htdocs\EindProjectZibe\sendgrid-php\vendor\sendgrid\php-http-client\lib\Client.php",521
"27-05-2024 20:11:29","Could not send request to server. CURL error 60: SSL certificate problem: self-signed certificate in certificate chain","C:\MAMP\htdocs\EindProjectZibe\sendgrid-php\vendor\sendgrid\php-http-client\lib\Client.php",521
"27-05-2024 20:12:24","Could not send request to server. CURL error 60: SSL certificate problem: self-signed certificate in certificate chain","C:\MAMP\htdocs\EindProjectZibe\sendgrid-php\vendor\sendgrid\php-http-client\lib\Client.php",521
"27-05-2024 20:23:50","Could not send request to server. CURL error 60: SSL certificate problem: self-signed certificate in certificate chain","C:\MAMP\htdocs\EindProjectZibe\sendgrid-php\vendor\sendgrid\php-http-client\lib\Client.php",521
